batchID,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10,test11,test12,test13,test14,test15,test16,test17,test18,test19,test20,test21,test22,test23,test24,test25,test26,test27,test28,test29,test30
B041355,830,908,416,246,672,607,630,169,270,379,737,556,159,308,511,703,23,596,486,673,4,105,85,556,567,515,989,617,825,482
B014748,443,722,132,313,446,446,59,632,349,981,663,185,315,11,782,114,74,944,322,894,919,578,928,941,908,906,773,572,362,715
B039834,900,654,840,185,34,948,620,1,511,173,616,239,871,632,581,814,929,793,55,894,757,420,249,971,468,298,162,376,345,367
B036658,942,463,180,899,670,103,204,493,612,688,655,596,608,142,915,316,273,11,891,939,953,607,561,423,940,687,396,331,216,98
B027100,585,364,963,281,902,283,798,928,717,581,638,75,162,961,602,315,899,951,852,977,650,484,279,256,525,52,102,921,215,696
B037159,261,265,102,701,959,523,575,831,862,229,391,957,873,913,775,799,671,956,793,803,799,404,266,832,642,166,457,153,517,540
B043949,931,588,776,531,456,676,911,30,316,617,872,836,73,68,476,737,654,535,811,145,727,159,583,930,202,315,166,447,885,260
B039307,575,650,443,946,268,647,976,376,968,526,460,3,956,830,0,511,665,697,435,874,44,381,671,630,241,534,172,272,787,346
B047302,95,360,15,68,364,372,129,758,765,423,479,43,654,126,532,832,449,526,30,710,221,70,586,762,208,10,518,63,250,577
B008644,636,455,421,7,967,784,824,668,47,995,76,652,714,652,404,372,99,109,553,429,922,662,108,660,717,180,699,257,20,421
B039887,782,430,4,388,338,60,737,428,566,459,921,473,530,20,257,423,611,594,728,252,232,85,857,715,375,427,229,961,385,903
B031083,60,195,166,220,816,657,699,665,382,897,233,284,365,868,462,162,285,396,965,457,908,574,738,256,707,360,855,987,562,61
B039121,178,571,205,886,448,164,257,667,606,24,435,581,87,341,244,837,970,590,957,526,77,17,844,376,17,567,775,236,301,233
B023163,94,715,35,799,493,109,600,9,772,0,743,28,997,988,869,638,265,986,357,866,168,423,741,643,94,908,102,807,122,461
B019241,48,442,822,776,684,228,497,459,342,575,65,986,421,257,298,916,170,405,880,641,723,807,477,641,978,585,706,346,681,143
B046287,263,719,957,248,743,21,206,355,67,101,732,372,800,785,744,190,397,830,167,114,46,380,568,951,461,939,488,543,762,213
B041316,808,335,676,361,282,311,885,590,706,409,816,864,466,702,292,481,770,695,92,449,779,504,826,65,149,554,485,230,570,675
B001781,478,304,317,796,579,656,959,822,784,740,167,626,47,17,535,332,838,661,143,702,972,390,891,350,550,346,369,717,413,718
B007698,601,342,804,837,478,299,909,111,1,798,581,242,656,748,845,272,981,155,305,552,274,56,48,1,337,407,283,385,488,875
B029413,117,441,40,307,842,953,258,227,54,339,931,371,144,119,509,246,997,565,139,533,669,619,870,846,732,913,581,721,949,727
B000379,472,557,698,139,83,265,52,251,493,295,500,880,427,514,413,68,40,755,734,263,134,263,523,111,565,949,385,329,704,661
B016834,321,149,966,294,94,252,93,92,585,723,871,565,639,861,856,936,569,113,166,102,375,95,713,669,36,280,125,461,879,670
B049502,320,726,828,767,513,212,998,179,828,273,807,630,982,486,214,118,781,41,801,257,900,993,285,644,682,748,175,973,836,165
B000306,582,922,814,670,974,502,681,283,372,660,641,333,304,547,937,709,167,902,237,495,281,463,636,183,541,273,471,8,624,866
B003979,48,785,12,119,149,651,530,519,797,779,178,205,83,303,500,613,891,189,537,450,56,794,612,77,82,929,26,785,732,199
B026987,561,308,808,32,460,927,151,888,553,761,437,634,797,385,988,573,622,43,827,57,958,989,305,371,248,330,788,403,857,92
B007804,612,960,563,906,691,742,349,80,582,470,726,607,524,901,800,277,197,268,787,729,347,746,96,132,421,769,911,604,78,475
B012142,73,686,997,336,453,748,738,48,345,344,214,795,715,281,69,426,352,727,360,911,746,440,43,580,689,559,196,151,789,535
B015842,587,926,206,594,780,560,363,324,754,591,850,890,981,184,536,614,204,659,141,36,615,860,153,972,79,565,388,813,487,273
B017623,888,457,309,430,402,646,866,528,897,767,968,408,257,968,843,615,881,734,729,80,139,762,544,483,931,875,136,584,529,807
B022115,576,354,432,930,130,799,829,287,842,359,71,204,68,540,538,172,549,993,596,560,527,96,635,557,143,260,510,989,34,608
B009858,620,457,187,21,412,681,539,8,255,425,942,153,443,272,951,760,636,130,76,146,88,265,884,893,394,765,215,601,352,532
B000376,746,797,615,327,60,320,844,893,333,979,743,969,386,938,518,23,779,450,687,654,109,592,28,641,661,454,725,786,514,250
B000410,616,22,232,525,633,414,293,379,978,943,357,71,371,957,854,652,717,38,82,707,822,538,852,856,745,112,858,685,281,190
B030488,654,642,795,492,820,648,268,713,953,550,43,443,948,809,639,477,244,575,692,909,599,830,298,31,411,15,355,409,357,446
B024932,290,944,790,806,626,984,240,614,364,334,56,294,355,172,823,711,122,145,95,810,866,171,623,459,718,868,615,451,911,862
B022601,301,179,166,883,34,948,391,368,493,542,877,753,532,872,302,715,23,463,439,124,981,38,986,417,348,284,238,342,122,559
B025754,471,717,817,733,580,984,447,975,655,271,245,155,170,881,822,147,341,692,773,136,902,509,982,130,826,11,887,94,785,339
B039820,555,329,521,970,81,833,75,515,490,8,311,271,937,767,230,909,604,251,538,303,424,14,767,591,232,13,899,85,199,434
B018074,851,850,244,988,650,287,478,737,665,828,182,930,997,244,165,908,58,845,52,248,626,150,415,767,155,529,588,892,378,233
B045972,246,417,725,796,715,593,56,643,12,866,106,773,714,776,655,990,875,158,705,468,778,487,465,797,176,206,192,578,225,801
B000564,958,19,916,726,50,217,674,396,821,858,518,829,730,308,232,312,998,486,560,199,7,469,984,608,441,324,539,132,324,63
B039606,322,765,479,518,957,970,231,512,331,481,549,873,769,805,242,471,670,216,982,889,710,715,132,569,881,189,38,146,972,510
B048794,92,126,528,831,615,238,540,306,904,715,731,577,167,323,698,319,399,753,210,74,987,72,996,169,400,171,952,893,855,693
B023188,505,812,949,127,167,454,560,425,750,816,94,454,452,608,902,901,546,595,105,951,655,16,979,411,578,237,904,543,49,147
B000406,123,729,897,819,501,944,863,60,573,900,256,136,929,893,426,738,645,650,251,427,944,870,189,666,865,229,988,616,637,970
B023114,480,116,769,409,40,438,264,494,649,193,629,543,678,223,101,513,731,549,340,473,377,560,425,40,104,989,962,259,783,246
B021073,995,36,425,330,120,347,654,247,526,610,870,372,154,505,669,603,638,545,73,641,168,262,363,564,133,138,773,183,975,49
B002178,483,882,955,50,410,319,505,384,210,599,189,800,395,273,97,518,647,628,256,993,693,666,31,62,304,970,101,487,109,911
B034508,353,122,877,896,502,650,846,814,648,727,868,446,200,151,515,625,976,600,95,472,782,573,547,580,425,638,582,835,483,840
B008197,148,378,861,63,994,702,462,919,457,760,536,927,930,568,458,593,945,714,372,908,803,320,599,706,314,281,81,473,366,982
B043630,985,650,272,686,320,311,334,426,432,863,971,883,776,858,459,631,969,674,458,848,994,343,844,641,697,82,395,138,657,186
B012123,668,538,606,134,945,298,81,86,133,760,976,205,701,906,291,508,296,772,184,952,101,727,85,953,357,305,506,562,137,905
B023185,969,427,406,763,627,286,711,396,462,651,672,522,858,300,655,510,472,260,688,752,664,303,443,150,16,269,225,82,89,945
B013457,143,562,303,639,421,585,527,133,452,31,642,728,383,205,983,434,735,455,360,809,666,468,799,800,737,214,226,383,554,776
B005370,919,277,873,213,42,771,590,562,680,269,318,51,295,709,229,696,177,714,999,250,264,398,955,932,80,257,572,177,75,953
B043692,749,649,385,162,950,141,959,451,42,429,701,751,806,474,495,131,527,297,954,923,726,846,984,91,117,118,840,793,191,619
B035856,918,559,802,346,254,37,516,709,541,150,665,400,354,428,915,447,976,169,297,806,321,968,776,586,442,77,87,226,36,130
B043302,101,194,552,435,803,773,615,174,808,297,188,211,448,570,639,311,770,692,554,778,663,526,1,361,356,764,731,325,807,100
B013293,431,337,604,243,440,760,405,920,569,116,523,998,61,334,490,182,956,769,372,756,296,622,664,150,642,972,139,718,200,525
B014501,806,840,608,998,441,122,34,960,93,752,307,778,397,875,238,562,3,45,811,490,734,44,54,955,124,159,517,349,195,605
B006430,122,246,655,716,697,708,728,464,574,866,30,277,581,568,195,490,765,98,495,65,273,264,223,848,677,568,914,335,984,29
B040904,416,215,626,171,685,865,408,13,826,726,812,537,14,378,370,650,484,789,289,361,200,727,594,89,613,312,284,878,12,309
B001272,148,327,387,965,367,825,322,14,437,982,35,256,222,512,304,743,216,685,731,644,167,314,14,534,986,218,807,652,947,656
B034079,47,772,499,365,922,276,738,172,236,478,552,957,400,159,934,430,476,549,16,246,213,819,482,355,342,983,936,91,584,168
B019189,747,678,399,383,220,945,752,750,128,312,461,111,204,992,120,414,765,9,993,366,944,114,81,477,373,991,762,378,315,221
B034351,665,672,725,654,77,234,732,333,822,690,131,734,591,554,597,790,562,531,690,270,392,85,108,392,891,550,488,597,369,657
B000159,481,204,372,697,513,262,589,726,166,425,798,675,85,14,65,327,499,846,794,190,377,565,937,755,49,579,574,993,946,428
B033060,910,589,286,950,343,490,275,489,545,316,536,305,228,244,442,508,720,816,735,898,455,261,776,279,926,26,449,992,809,919
B024161,657,220,360,428,78,343,317,638,338,515,676,145,794,571,421,72,98,492,151,95,529,106,24,862,618,911,566,435,37,879
B035283,920,41,858,904,227,462,660,301,409,236,107,247,462,114,282,414,535,985,603,164,13,622,710,42,711,64,297,608,948,124
B024143,756,506,252,712,404,298,452,762,837,822,336,554,982,913,682,140,526,335,484,548,186,613,491,232,95,35,8,610,729,864
B007846,23,563,246,629,703,272,746,632,680,502,918,521,833,768,842,224,347,392,560,641,232,705,344,407,37,781,518,203,189,893
B033572,870,810,636,21,246,80,111,794,18,100,473,756,153,144,639,397,453,965,841,264,344,623,241,466,954,102,769,572,765,668
B017675,81,271,861,180,737,185,634,144,576,483,563,76,864,754,734,847,690,679,146,73,871,0,445,22,561,636,957,97,705,326
B016869,499,631,165,240,387,820,645,751,452,902,453,206,648,806,28,866,96,816,25,229,866,691,859,724,892,236,736,733,572,824
B028717,996,649,237,962,318,665,500,717,707,171,535,187,491,537,195,602,790,995,462,733,625,412,395,559,719,71,603,520,195,427
B047717,967,810,76,263,648,601,323,927,70,969,472,950,232,617,617,302,252,321,705,298,187,747,942,459,158,476,264,224,127,55
B033257,853,569,599,261,239,802,652,685,263,884,549,320,951,950,929,24,149,135,555,232,522,451,436,117,620,15,722,254,294,103
B006395,622,997,899,422,58,207,631,887,61,118,549,795,669,678,210,808,58,302,199,539,830,988,211,285,720,157,2,364,136,480
B023290,588,913,948,479,684,50,108,273,834,435,0,88,74,104,379,277,724,819,981,822,403,94,150,291,247,41,597,866,794,770
B007599,132,150,317,936,405,959,824,391,529,631,930,224,507,412,224,773,305,325,31,629,119,889,200,302,834,970,180,454,79,490
B034675,273,583,300,511,619,92,31,589,128,79,432,330,902,5,300,577,507,361,543,126,390,847,611,2,796,892,506,1,37,40
B005757,793,91,68,952,354,910,499,424,906,602,930,498,47,175,881,462,266,92,395,37,527,923,683,258,807,246,260,721,421,64
B025599,683,873,719,28,900,359,718,645,527,965,176,289,302,322,570,235,325,676,158,45,698,329,619,149,202,426,124,413,179,103
B010309,640,946,720,650,635,630,462,881,977,845,269,910,694,769,405,705,986,758,505,692,356,421,240,341,32,44,195,934,925,706
B000043,940,333,349,725,216,412,707,73,848,89,465,785,985,825,648,849,306,421,694,768,756,262,294,281,92,736,256,408,895,610
B014432,933,865,786,994,676,819,115,352,454,449,986,947,198,77,610,320,648,467,571,229,659,952,966,745,396,796,552,929,867,798
B003706,819,740,248,405,213,384,149,563,527,605,649,302,998,129,861,869,239,261,501,108,339,11,176,285,184,321,115,159,748,822
B003982,601,178,663,848,785,116,479,704,552,443,71,794,736,281,793,477,640,207,972,146,76,405,505,755,910,433,752,866,480,497
B041979,800,805,279,221,916,615,82,103,635,299,917,816,793,222,59,345,222,954,84,551,705,903,152,615,576,115,633,889,905,545
B014679,314,835,568,897,920,796,999,297,8,904,359,2,239,125,314,944,436,776,287,111,942,827,767,22,573,778,129,790,465,187
B043484,932,547,439,958,595,959,27,655,683,653,521,141,981,260,581,113,163,912,142,41,336,632,720,355,703,387,706,303,957,774
B001418,30,300,82,457,129,929,769,364,584,202,667,82,937,621,240,580,112,173,81,698,404,155,69,791,967,755,243,208,33,881
B031051,354,461,640,498,98,577,942,709,661,713,996,392,151,245,596,772,184,352,761,720,257,523,258,508,41,376,931,599,23,103
B025206,32,637,591,58,998,706,44,615,196,531,881,852,727,264,404,507,890,915,650,924,370,638,585,940,563,916,826,582,837,675
B038353,401,245,398,470,401,921,875,817,194,441,797,280,883,651,737,805,669,146,58,966,40,873,413,256,59,113,176,35,657,727
B022337,854,941,619,753,6,322,782,942,558,219,719,938,938,214,251,753,656,420,45,861,96,903,908,74,44,503,542,568,53,199
B040968,156,495,526,351,794,121,688,953,764,882,58,842,653,624,278,194,718,262,803,588,409,357,704,446,89,83,253,876,394,166
B022968,219,717,386,129,257,686,915,792,600,261,624,729,280,296,493,675,198,511,5,447,620,822,614,676,640,642,374,447,745,598
B034267,43,302,309,714,123,167,565,137,309,237,118,960,106,784,288,44,407,457,507,292,217,953,507,250,259,251,921,318,557,639
B015335,944,199,563,204,751,359,57,300,94,837,91,467,182,63,775,598,642,406,332,930,695,113,873,279,207,205,992,460,382,349
B032774,791,833,315,88,88,305,908,284,243,461,664,449,483,950,6,874,34,308,723,74,425,439,224,703,320,719,919,156,405,717
B030874,360,287,589,260,690,808,306,405,209,191,630,594,962,182,624,275,44,322,67,344,170,670,630,166,465,825,310,473,495,593
B012657,590,724,930,681,635,333,378,499,342,991,109,799,256,976,513,410,344,694,684,378,726,742,599,601,324,394,787,282,816,638
B031850,303,637,743,424,791,162,483,125,127,39,16,246,527,773,288,882,337,461,135,553,733,197,522,202,150,142,732,442,739,216
B040721,336,470,593,735,533,614,206,999,809,920,407,431,84,628,951,465,285,57,431,748,468,604,882,464,297,640,323,103,892,900
B007294,912,921,881,538,353,765,858,928,386,242,454,429,349,978,630,922,436,347,835,649,683,140,729,253,555,960,832,628,317,568
B018811,652,761,781,504,853,563,915,911,933,888,194,825,351,955,184,43,512,86,449,783,4,972,749,110,162,10,255,2,605,121
B021558,66,695,657,460,524,75,832,75,926,184,498,148,472,502,897,496,356,328,13,805,154,41,816,445,139,791,319,613,415,57
B007834,40,417,583,950,127,642,449,30,43,957,659,417,245,911,126,450,709,419,908,348,456,610,197,813,129,906,668,208,422,900
B001134,946,560,855,798,818,133,646,572,932,148,662,401,931,810,426,462,414,351,871,189,966,899,657,601,501,629,456,953,892,283
B007677,940,403,186,721,156,539,108,783,111,347,912,882,68,788,768,816,632,261,716,876,382,212,909,591,347,334,862,15,421,330
B032578,481,831,663,566,331,309,500,563,290,376,497,673,56,229,714,392,978,170,776,246,798,871,175,101,964,436,578,946,199,752
B025307,935,171,683,363,440,938,45,283,664,662,705,86,742,696,857,302,466,456,868,604,268,620,400,443,993,765,660,121,855,305
B022381,650,650,320,307,224,904,27,649,631,665,101,786,226,457,765,466,803,94,116,628,610,980,924,771,79,858,451,316,842,260
B000941,567,753,457,110,864,493,224,346,448,380,531,50,926,641,848,444,837,497,432,876,103,543,626,939,3,785,543,877,969,55
B006580,82,751,142,313,84,530,121,234,129,266,130,128,472,681,88,336,469,106,107,697,468,117,172,489,37,69,559,27,225,490
B037560,17,83,533,785,95,991,82,783,957,358,897,939,260,439,76,66,812,911,211,721,852,405,206,554,493,424,93,23,720,904
B036213,292,768,786,122,187,214,835,347,111,991,624,732,108,869,448,907,80,435,538,890,616,877,987,3,73,41,501,854,476,970
B041965,547,609,913,202,989,981,109,849,880,812,176,791,319,652,47,674,0,486,279,120,691,689,862,973,933,995,179,249,764,7
B009088,152,338,424,397,533,457,674,991,188,815,709,753,639,874,835,325,348,802,899,486,415,797,934,208,296,111,463,623,391,367
B015093,467,934,210,384,170,55,610,657,419,807,315,223,893,169,780,739,559,75,665,337,782,426,525,23,625,273,606,418,887,975
B000126,986,324,476,454,903,730,774,7,4,427,538,745,922,319,969,753,445,81,792,85,292,235,400,249,460,468,591,246,568,687
B046915,641,58,420,805,317,86,187,342,800,926,836,781,482,220,762,22,736,741,139,905,10,965,545,868,687,933,618,716,575,357
B032244,534,901,236,507,630,754,112,848,603,893,532,777,425,512,68,306,493,73,717,423,14,935,514,158,48,870,38,211,537,407
B012569,389,358,405,543,734,501,497,980,566,122,500,350,226,256,122,153,180,960,226,783,888,850,737,906,488,321,776,627,147,572
B048171,916,687,564,785,180,516,109,917,41,284,994,48,290,730,526,119,973,918,407,423,439,518,669,447,39,179,888,459,598,590
B029812,993,909,50,549,160,197,220,866,499,151,459,575,438,202,132,85,977,486,956,9,488,363,209,178,152,537,78,910,487,924
B041315,665,357,434,512,812,472,6,875,108,16,358,366,708,14,407,327,166,260,230,99,615,765,799,735,370,998,376,197,417,882
B004160,525,180,765,283,941,763,578,979,713,862,190,516,898,401,431,349,895,392,796,663,339,535,101,332,67,931,414,119,992,551
B036938,823,886,374,525,938,227,43,106,220,506,865,645,65,881,423,494,57,89,706,217,905,970,571,431,138,343,893,217,647,904
B041111,227,515,227,746,408,535,419,364,93,795,222,824,569,898,932,534,334,584,80,364,167,237,17,588,769,615,634,550,947,898
B011583,312,821,970,745,480,657,410,541,426,285,381,462,17,797,835,558,298,997,111,444,17,402,454,286,991,556,674,51,713,766
B016484,774,554,239,554,755,200,201,946,563,253,773,963,16,99,952,715,266,60,976,47,728,266,429,758,319,788,31,399,171,458
B025073,430,191,20,527,13,125,59,487,311,811,920,106,378,917,299,498,701,487,831,69,549,61,460,272,408,270,602,979,636,729
B032531,441,749,841,347,627,578,691,350,537,300,512,475,603,948,619,504,97,365,202,226,828,170,500,152,805,182,9,992,388,841
B032819,254,802,623,797,83,98,663,710,322,599,404,755,544,226,37,559,786,234,308,1,658,12,736,765,0,656,72,824,919,433
B014236,556,557,477,907,7,164,606,555,858,756,184,299,707,111,317,692,272,779,240,448,365,756,991,164,160,643,166,960,909,568
B000413,847,577,239,280,623,885,611,893,3,885,694,798,239,198,522,891,697,76,704,758,483,312,249,254,956,864,172,89,297,623
B021193,757,95,662,109,127,27,778,668,371,768,250,898,988,401,305,85,6,894,790,167,920,622,730,33,286,11,363,706,494,323
B030727,304,80,820,676,148,277,969,400,755,682,878,621,938,599,989,993,401,281,859,484,465,628,68,423,247,362,993,866,946,619
B027218,679,526,735,219,522,736,401,439,714,374,723,585,882,505,346,212,737,327,841,666,431,239,95,430,960,981,207,398,772,913
B037454,493,402,839,954,259,710,703,409,726,562,951,417,368,132,336,931,394,383,118,16,115,976,42,235,565,562,78,701,785,237
B008351,323,641,308,10,750,392,211,547,258,224,580,86,925,219,904,940,234,441,911,239,978,659,212,781,109,369,130,48,751,20
B017593,808,39,57,809,316,282,857,713,544,696,298,136,44,935,745,35,269,874,809,79,14,191,30,619,771,220,890,599,276,336
B032474,966,243,222,251,505,90,437,138,841,668,933,825,106,140,504,391,867,865,882,627,82,304,717,335,83,313,810,967,602,240
B009718,185,431,335,850,195,580,627,21,664,333,306,328,187,78,468,671,464,891,248,611,789,982,557,621,571,567,114,595,591,1
B049102,438,501,435,743,741,104,919,712,837,953,537,147,239,530,487,464,962,170,543,900,807,685,109,814,852,979,6,967,983,19
B048088,99,243,751,191,396,85,199,358,133,865,580,792,645,871,383,538,137,284,585,857,960,837,530,266,378,516,982,312,3,895
B041100,480,433,137,629,891,729,509,383,763,277,996,447,652,351,121,235,553,376,743,710,855,18,226,246,602,170,902,604,290,46
B021219,754,638,89,939,448,433,570,556,86,489,809,965,227,1,603,225,382,545,987,119,542,750,429,238,409,120,389,176,690,80
B034905,991,603,762,928,324,396,2,372,516,43,570,884,289,53,420,684,2,167,177,383,852,596,736,844,575,710,303,268,819,340
B004216,105,674,577,965,588,832,449,299,868,896,943,954,645,433,361,214,478,313,222,520,373,240,141,594,968,161,542,14,139,793
B020108,394,449,483,420,746,793,963,159,668,261,191,779,824,846,544,503,370,269,374,329,116,586,267,551,307,579,920,337,16,381
B038971,880,826,478,570,671,662,597,207,457,98,193,63,964,894,791,520,295,46,339,419,930,54,771,397,854,459,422,855,172,205
B035203,331,451,523,635,916,610,718,364,483,514,379,321,366,938,367,671,564,338,155,682,533,697,566,76,797,691,500,189,597,587
B046448,925,10,892,148,473,913,273,875,315,116,870,409,560,493,244,762,212,747,569,65,127,109,894,38,532,824,482,285,256,994
B020092,561,12,952,129,156,682,853,606,396,572,677,440,799,916,699,163,609,227,810,820,359,500,189,453,997,845,363,414,147,765
B008665,100,650,302,267,391,912,647,707,509,404,679,566,532,61,18,136,891,365,544,388,206,639,640,338,971,980,399,85,312,935
B001019,505,938,311,616,387,17,467,379,998,648,13,373,847,522,280,808,706,706,76,283,580,500,330,8,424,30,603,228,910,382
B031404,723,701,856,716,721,753,301,208,324,224,576,562,150,362,467,546,6,951,231,568,136,445,691,426,34,205,25,326,840,54
B047418,367,773,639,500,640,501,167,133,173,327,468,786,402,553,998,171,107,335,694,728,629,439,929,150,803,676,961,720,970,191
B015613,946,644,707,931,885,109,262,151,764,633,738,155,546,982,507,105,965,399,422,348,430,491,894,574,743,704,596,460,278,466
B044366,39,698,226,158,99,903,825,275,729,370,920,412,232,208,225,424,727,127,5,34,518,517,932,786,117,305,712,74,695,963
B035244,203,958,317,991,920,609,103,413,972,479,415,344,874,828,929,515,831,207,343,507,551,450,69,331,180,629,751,574,42,584
B011517,562,48,344,433,552,855,513,987,627,128,11,130,823,536,798,624,860,245,855,763,596,709,964,341,751,597,442,174,744,814
B030023,576,481,154,930,83,152,615,682,233,437,450,271,462,800,298,800,665,838,820,627,804,406,410,546,621,209,487,399,821,587
B014574,236,630,410,543,473,226,893,954,989,92,427,10,815,432,121,704,597,536,892,19,444,507,860,675,760,16,255,528,896,292
B005066,530,734,315,269,851,271,578,271,489,156,586,592,570,724,20,553,307,392,224,57,612,579,250,898,281,211,376,336,786,181
B038049,928,886,991,167,476,913,967,472,348,997,77,923,514,39,640,121,989,567,598,532,533,283,849,446,279,233,756,891,345,855
B014890,515,291,885,171,793,143,802,260,462,466,207,937,973,635,328,679,58,19,864,782,347,845,58,208,901,275,745,447,824,671
B017985,818,394,457,596,198,663,711,207,792,777,121,448,925,812,391,518,500,232,638,582,444,179,996,942,692,195,663,515,704,572
B015283,425,837,698,113,474,288,804,746,113,996,245,681,638,285,735,426,556,674,978,318,94,542,727,675,961,189,349,379,93,324
B020006,385,456,69,741,892,851,327,994,22,389,291,521,485,953,683,985,455,867,248,976,789,20,343,55,97,978,209,699,771,771
B047890,956,321,350,758,187,604,305,382,624,545,703,263,4,780,388,258,705,453,675,58,136,439,413,204,530,437,277,435,576,155
B016278,728,85,342,791,469,321,377,486,794,472,297,902,306,736,446,703,102,781,784,425,457,381,809,291,354,451,717,848,66,946
B007034,169,452,735,632,866,363,351,818,617,767,235,590,763,763,983,273,989,835,308,397,454,337,290,836,239,370,399,920,955,809
B001568,995,614,337,141,508,605,800,227,45,174,684,635,958,3,405,171,231,931,486,11,100,826,480,605,122,6,709,559,952,873
B041323,717,650,754,792,65,906,615,991,692,465,866,935,80,954,626,602,422,498,327,143,461,660,929,506,252,627,680,156,434,206
B021178,161,669,175,203,519,247,816,175,882,352,89,347,283,338,169,24,904,856,46,831,343,39,621,790,23,48,186,608,266,151
B015992,241,246,831,513,956,901,784,168,344,73,941,560,187,53,939,257,187,5,704,651,748,885,931,338,779,679,559,210,650,255
B006774,721,649,954,392,405,4,484,965,186,580,811,751,528,742,170,829,571,213,546,276,182,8,927,230,28,398,976,189,367,261
B049096,275,276,211,607,145,697,75,530,48,839,249,431,231,181,481,27,844,286,62,518,59,621,678,26,949,559,875,725,408,429
B004107,560,96,374,211,382,28,143,74,367,183,672,713,665,273,24,8,353,985,550,794,496,937,7,504,411,147,885,413,22,566
B000733,439,106,816,742,357,777,530,469,869,576,334,632,199,455,575,148,761,986,750,304,594,574,177,389,378,182,827,571,544,120
B046371,179,403,990,286,933,135,993,522,806,978,124,891,192,658,80,735,444,356,41,624,874,18,819,744,723,803,353,459,510,611
B037243,340,942,871,501,537,918,651,356,841,553,180,632,547,421,622,254,629,6,318,321,246,12,497,495,353,301,862,13,499,195
