serial_nbr,batchID
S002B048333,B048333
S007B038270,B038270
S001B003758,B003758
S005B032993,B032993
S009B042117,B042117
S002B040735,B040735
S009B014177,B014177
S005B021831,B021831
S006B043239,B043239
S003B033653,B033653
S001B009446,B009446
S008B048007,B048007
S007B011742,B011742
S005B037384,B037384
S002B014070,B014070
S000B039489,B039489
S006B040726,B040726
S003B008911,B008911
S000B004909,B004909
S008B041322,B041322
S006B036124,B036124
S004B021731,B021731
S001B035177,B035177
S003B030629,B030629
S001B028880,B028880
S002B042992,B042992
S007B030496,B030496
S009B000984,B000984
S005B008004,B008004
S001B011792,B011792
S005B048443,B048443
S000B040174,B040174
S004B022507,B022507
S001B032819,B032819
S005B019984,B019984
S003B034557,B034557
S003B043302,B043302
S007B035580,B035580
S001B019585,B019585
S007B018620,B018620
S003B017327,B017327
S000B025100,B025100
S001B002549,B002549
S000B041150,B041150
S000B005827,B005827
S002B002248,B002248
S009B031854,B031854
S008B000397,B000397
S004B003041,B003041
S009B046965,B046965
S001B041202,B041202
S000B005453,B005453
S005B041914,B041914
S001B012435,B012435
S001B024505,B024505
S009B020167,B020167
S004B048521,B048521
S000B037216,B037216
S003B023078,B023078
S008B039540,B039540
S009B033790,B033790
S006B007308,B007308
S003B033305,B033305
S008B044862,B044862
S005B011065,B011065
S002B044460,B044460
S009B010195,B010195
S002B050039,B050039
S001B021699,B021699
S009B041992,B041992
S009B035645,B035645
S006B019613,B019613
S000B027100,B027100
S006B034341,B034341
S001B047381,B047381
S002B012519,B012519
S009B040537,B040537
S003B038854,B038854
S003B010075,B010075
S007B035044,B035044
S005B050029,B050029
S006B039792,B039792
S005B017662,B017662
S006B002341,B002341
S007B003440,B003440
S000B011496,B011496
S009B006580,B006580
S005B050006,B050006
S008B047368,B047368
S000B037764,B037764
S000B009215,B009215
S001B030618,B030618
S005B038846,B038846
S001B023800,B023800
S000B018701,B018701
S009B015394,B015394
S000B043709,B043709
S003B023007,B023007
S006B039325,B039325
S001B017539,B017539
S008B024676,B024676
S002B044058,B044058
S001B013297,B013297
S006B039682,B039682
S001B037329,B037329
S007B047368,B047368
S005B033794,B033794
S002B027304,B027304
S004B004365,B004365
S003B014609,B014609
S002B021042,B021042
S006B003543,B003543
S003B024379,B024379
S001B012321,B012321
S006B007319,B007319
S006B041567,B041567
S007B049176,B049176
S004B035701,B035701
S001B031891,B031891
S008B046590,B046590
S003B039420,B039420
S000B007950,B007950
S000B016550,B016550
S003B044955,B044955
S007B023767,B023767
S005B003439,B003439
S004B010898,B010898
S005B014570,B014570
S006B021364,B021364
S006B034531,B034531
S003B040072,B040072
S005B016999,B016999
S007B002929,B002929
S002B044697,B044697
S005B018975,B018975
S000B024407,B024407
S008B000064,B000064
S003B018465,B018465
S004B021620,B021620
S009B001317,B001317
S008B039605,B039605
S004B014659,B014659
S001B043815,B043815
S008B046081,B046081
S007B016579,B016579
S008B018547,B018547
S003B026422,B026422
S004B043543,B043543
S004B036124,B036124
S002B018844,B018844
S003B020302,B020302
S000B049807,B049807
S002B005738,B005738
S003B040151,B040151
S006B021559,B021559
S006B049022,B049022
S002B050266,B050266
S006B027944,B027944
S004B026096,B026096
S004B040921,B040921
S006B047048,B047048
S005B022291,B022291
S008B031570,B031570
S008B017327,B017327
S004B018672,B018672
S003B009082,B009082
S005B011387,B011387
S003B027214,B027214
S000B028299,B028299
S001B041150,B041150
S000B024266,B024266
S001B008211,B008211
S008B020959,B020959
S001B043693,B043693
S002B015156,B015156
S008B046868,B046868
S001B031512,B031512
S002B046978,B046978
S002B019984,B019984
S009B025676,B025676
S003B032891,B032891
S001B008362,B008362
S007B037329,B037329
S001B033965,B033965
S006B037155,B037155
S001B014249,B014249
S006B024834,B024834
S009B021937,B021937
S001B026621,B026621
S001B045285,B045285
S000B032536,B032536
S000B017376,B017376
S003B038336,B038336
S003B039028,B039028
S008B048746,B048746
S009B037126,B037126
S007B021073,B021073
S004B032047,B032047
S002B027051,B027051
S009B036897,B036897
S004B045915,B045915
S005B043937,B043937
S001B014573,B014573
S001B030989,B030989
S000B016640,B016640
S006B020302,B020302
S006B047776,B047776
S006B005695,B005695
S007B038850,B038850
S008B032870,B032870
S009B028909,B028909
S008B034180,B034180
S005B021001,B021001
S007B044653,B044653
S004B012584,B012584
S001B004702,B004702
S000B006142,B006142
S008B041281,B041281
S003B029965,B029965
S000B000421,B000421
S009B039536,B039536
S007B012238,B012238
S005B021965,B021965
S008B046400,B046400
S002B025100,B025100
S000B048341,B048341
S008B015338,B015338
S004B006293,B006293
S001B006749,B006749
S000B027950,B027950
S009B014897,B014897
S006B041979,B041979
S000B048672,B048672
S009B004721,B004721
S007B036192,B036192
S005B042290,B042290
S000B008919,B008919
S006B018330,B018330
S000B018844,B018844
S006B007077,B007077
S005B003664,B003664
S006B039340,B039340
S001B037706,B037706
S008B034061,B034061
S008B005197,B005197
S005B008815,B008815
S009B032062,B032062
S000B005508,B005508
S007B039834,B039834
S008B047833,B047833
S009B035756,B035756
S006B014897,B014897
S009B032891,B032891
S002B012683,B012683
S005B048521,B048521
S005B018523,B018523
S008B028203,B028203
S002B010898,B010898
S000B023963,B023963
S003B009934,B009934
S001B005318,B005318
S006B044974,B044974
S002B039087,B039087
S008B049447,B049447
S005B031751,B031751
S009B021767,B021767
S004B045555,B045555
S008B040443,B040443
S006B032891,B032891
S002B018089,B018089
S009B002985,B002985
S000B005695,B005695
S006B036744,B036744
S001B023084,B023084
S004B026881,B026881
S000B014902,B014902
S001B031428,B031428
S000B033911,B033911
S002B001481,B001481
S006B047855,B047855
S005B029116,B029116
S003B024682,B024682
S007B002687,B002687
S008B015010,B015010
S009B045915,B045915
S007B043818,B043818
S002B022115,B022115
S003B006072,B006072
S009B039835,B039835
S005B037778,B037778
S004B025506,B025506
S007B013771,B013771
S006B006380,B006380
S008B048863,B048863
S003B006727,B006727
S003B013668,B013668
S006B035515,B035515
S003B003826,B003826
S004B018323,B018323
S000B011065,B011065
S000B049209,B049209
S007B004076,B004076
S006B040968,B040968
S008B004888,B004888
S005B033964,B033964
S005B009338,B009338
S009B011698,B011698
S009B034351,B034351
S006B015909,B015909
S001B049813,B049813
S004B030618,B030618
S002B045205,B045205
S003B044952,B044952
S004B000519,B000519
S006B044058,B044058
S007B049565,B049565
S002B040268,B040268
S005B018714,B018714
S004B017906,B017906
S002B007159,B007159
S008B042074,B042074
S000B006877,B006877
S007B021767,B021767
S000B035889,B035889
S004B035105,B035105
S005B019124,B019124
S009B009887,B009887
S007B015685,B015685
S000B044566,B044566
S007B026248,B026248
S006B040618,B040618
S005B022662,B022662
S003B027690,B027690
S004B021042,B021042
S005B028893,B028893
S008B039312,B039312
S002B030768,B030768
S001B007342,B007342
S004B043451,B043451
S009B017628,B017628
S001B045753,B045753
S008B020473,B020473
S006B043467,B043467
S007B038306,B038306
S006B037706,B037706
S003B043592,B043592
S007B022626,B022626
S000B046978,B046978
S007B002680,B002680
S001B032047,B032047
S004B014249,B014249
S006B039864,B039864
S007B005380,B005380
S008B001208,B001208
S000B017593,B017593
S003B021435,B021435
S006B012555,B012555
S003B021106,B021106
S006B023479,B023479
S004B021526,B021526
S007B004144,B004144
S002B034323,B034323
S000B049813,B049813
S007B036860,B036860
S000B023160,B023160
S002B023760,B023760
S004B050287,B050287
S007B012809,B012809
S007B026492,B026492
S005B009602,B009602
S008B039236,B039236
S002B011919,B011919
S003B007500,B007500
S007B048341,B048341
S009B004142,B004142
S005B040890,B040890
S008B045936,B045936
S005B022653,B022653
S003B019774,B019774
S001B046058,B046058
S006B028521,B028521
S000B006362,B006362
S005B007013,B007013
S006B009345,B009345
S005B000460,B000460
S006B025622,B025622
S003B025227,B025227
S002B044378,B044378
S007B031935,B031935
S006B022122,B022122
S004B035580,B035580
S003B020977,B020977
S006B032304,B032304
S002B044520,B044520
S002B000479,B000479
S004B047172,B047172
S000B019984,B019984
S001B041437,B041437
S005B022095,B022095
S003B017346,B017346
S001B021941,B021941
S001B006944,B006944
S001B029225,B029225
S002B018523,B018523
S006B004001,B004001
S004B011993,B011993
S009B017836,B017836
S003B044067,B044067
S002B006083,B006083
S008B032143,B032143
S000B039058,B039058
S004B012419,B012419
S004B011600,B011600
S003B030496,B030496
S001B002176,B002176
S009B010075,B010075
S002B004798,B004798
S000B033624,B033624
S002B000733,B000733
S000B044067,B044067
S006B036860,B036860
S006B004099,B004099
S004B037563,B037563
S006B047890,B047890
S008B032822,B032822
S005B050096,B050096
S009B047890,B047890
S004B038270,B038270
S007B021831,B021831
S009B013064,B013064
S001B042381,B042381
S006B019293,B019293
S006B037556,B037556
S004B037617,B037617
S004B001761,B001761
S003B032119,B032119
S004B044910,B044910
S006B048490,B048490
S009B040735,B040735
S004B022378,B022378
S005B037363,B037363
S000B019933,B019933
S008B032923,B032923
S006B006362,B006362
S007B032070,B032070
S006B037454,B037454
S001B002680,B002680
S008B022663,B022663
S006B039851,B039851
S000B015592,B015592
S005B032010,B032010
S000B024843,B024843
S002B047839,B047839
S000B020191,B020191
S001B001156,B001156
S009B042533,B042533
S005B025819,B025819
S002B000190,B000190
S004B021271,B021271
S001B000519,B000519
S002B042691,B042691
S007B047076,B047076
S001B001272,B001272
S006B049584,B049584
S009B045536,B045536
S009B027872,B027872
S008B013232,B013232
S004B015680,B015680
S009B047028,B047028
S001B030631,B030631
S000B017195,B017195
S000B011144,B011144
S005B010671,B010671
S007B037490,B037490
S001B024599,B024599
S009B040555,B040555
S003B045342,B045342
S001B032126,B032126
S005B047247,B047247
S005B048197,B048197
S006B019810,B019810
S004B046868,B046868
S008B021704,B021704
S001B042135,B042135
S009B002400,B002400
S002B042054,B042054
S005B007733,B007733
S000B028532,B028532
S006B000132,B000132
S006B015592,B015592
S001B044668,B044668
S008B016220,B016220
S005B026178,B026178
S009B046509,B046509
S006B006496,B006496
S008B011597,B011597
S008B009215,B009215
S004B048921,B048921
S006B047159,B047159
S005B041150,B041150
S005B019939,B019939
S006B021163,B021163
S008B021756,B021756
S006B050287,B050287
S007B000012,B000012
S004B027318,B027318
S007B008994,B008994
S006B020678,B020678
S004B031696,B031696
S007B037810,B037810
S008B008930,B008930
S009B011792,B011792
S000B014167,B014167
S007B001481,B001481
S009B011171,B011171
S008B005390,B005390
S008B021435,B021435
S009B048759,B048759
S009B015375,B015375
S007B047302,B047302
S004B021814,B021814
S006B046232,B046232
S005B049391,B049391
S004B003440,B003440
S005B015852,B015852
S005B000240,B000240
S004B044955,B044955
S000B049343,B049343
S001B002903,B002903
S002B002741,B002741
S003B003982,B003982
S005B036542,B036542
S004B040726,B040726
S004B047399,B047399
S008B012693,B012693
S000B040237,B040237
S009B004264,B004264
S006B001277,B001277
S006B024999,B024999
S006B010311,B010311
S001B018566,B018566
S009B039121,B039121
S009B008001,B008001
S005B029246,B029246
S009B001522,B001522
S005B032515,B032515
S008B006380,B006380
S009B035443,B035443
S008B023634,B023634
S000B008836,B008836
S005B038352,B038352
S005B007186,B007186
S007B026385,B026385
S005B006263,B006263
S001B020298,B020298
S000B019610,B019610
S006B034808,B034808
S004B029854,B029854
S009B024032,B024032
S005B042747,B042747
S000B023563,B023563
S002B049286,B049286
S008B006844,B006844
S002B011387,B011387
S007B031244,B031244
S006B029034,B029034
S008B019774,B019774
S004B017960,B017960
S005B026045,B026045
S000B044691,B044691
S001B032985,B032985
S007B014537,B014537
S007B037359,B037359
S003B003154,B003154
S006B015350,B015350
S009B015553,B015553
S005B016581,B016581
S008B015664,B015664
S003B034095,B034095
S001B002403,B002403
S003B023438,B023438
S009B036646,B036646
S004B021306,B021306
S008B044884,B044884
S000B001147,B001147
S000B031891,B031891
S009B036084,B036084
S007B018456,B018456
S006B016550,B016550
S001B019613,B019613
S007B029670,B029670
S004B048122,B048122
S009B006852,B006852
S001B034370,B034370
S006B009601,B009601
S002B040873,B040873
S001B007688,B007688
S007B028722,B028722
S004B008078,B008078
S004B024680,B024680
S000B003065,B003065
S006B021796,B021796
S005B016713,B016713
S009B004086,B004086
S003B001847,B001847
S002B009835,B009835
S009B045486,B045486
S006B031037,B031037
S005B038719,B038719
S008B029021,B029021
S002B006789,B006789
S005B007034,B007034
S009B007319,B007319
S005B020538,B020538
S008B001297,B001297
S006B025227,B025227
S004B018440,B018440
S008B050365,B050365
S001B028722,B028722
S008B001156,B001156
S003B041495,B041495
S007B029074,B029074
S003B003863,B003863
S006B049246,B049246
S001B015496,B015496
S004B026006,B026006
S006B022095,B022095
S007B023213,B023213
S002B026521,B026521
S006B009145,B009145
S004B036833,B036833
S009B038219,B038219
S008B039671,B039671
S007B003759,B003759
S002B024367,B024367
S007B019506,B019506
S007B008362,B008362
S007B024599,B024599
S001B023541,B023541
S006B022869,B022869
S004B042691,B042691
S002B042051,B042051
S007B025293,B025293
S008B011650,B011650
S008B040618,B040618
S005B023564,B023564
S001B003863,B003863
S008B039994,B039994
S004B047455,B047455
S002B044959,B044959
S005B046971,B046971
S003B047282,B047282
S008B002400,B002400
S000B039426,B039426
S008B033627,B033627
S006B033583,B033583
S000B003966,B003966
S001B030207,B030207
S000B012750,B012750
S001B043552,B043552
S001B027051,B027051
S006B027469,B027469
S000B004795,B004795
S005B011215,B011215
S006B022441,B022441
S003B050266,B050266
S003B012635,B012635
S008B049807,B049807
S007B038409,B038409
S002B016122,B016122
S002B048456,B048456
S006B040690,B040690
S008B040521,B040521
S004B032870,B032870
S005B044323,B044323
S003B015616,B015616
S000B017821,B017821
S001B010761,B010761
S009B004524,B004524
S000B023263,B023263
S009B022629,B022629
S002B021704,B021704
S000B043820,B043820
S005B023446,B023446
S009B017776,B017776
S007B018062,B018062
S009B041613,B041613
S005B004710,B004710
S003B042029,B042029
S001B015700,B015700
S008B043297,B043297
S003B016640,B016640
S003B040521,B040521
S003B028724,B028724
S006B050096,B050096
S001B021915,B021915
S006B011993,B011993
S006B013338,B013338
S008B019613,B019613
S009B044678,B044678
S000B023011,B023011
S001B035045,B035045
S002B001273,B001273
S009B040174,B040174
S001B048863,B048863
S009B034808,B034808
S000B033047,B033047
S005B048248,B048248
S007B006881,B006881
S008B004501,B004501
S002B025373,B025373
S001B019762,B019762
S002B011798,B011798
S008B045342,B045342
S005B048346,B048346
S009B004638,B004638
S004B013014,B013014
S009B046870,B046870
S004B025819,B025819
S008B015163,B015163
S005B013895,B013895
S009B041202,B041202
S006B008128,B008128
S004B018236,B018236
S008B012742,B012742
S006B032264,B032264
S009B012190,B012190
S007B032985,B032985
S000B041914,B041914
S002B008005,B008005
S005B018089,B018089
S004B025334,B025334
S004B009672,B009672
S008B016122,B016122
S002B017906,B017906
S000B018398,B018398
S009B027453,B027453
S007B037382,B037382
S008B002116,B002116
S001B029021,B029021
S006B009247,B009247
S001B039682,B039682
S004B001272,B001272
S007B015371,B015371
S009B003798,B003798
S004B043239,B043239
S000B005392,B005392
S001B011650,B011650
S008B022462,B022462
S008B023770,B023770
S005B011676,B011676
S002B017930,B017930
S008B021163,B021163
S002B046697,B046697
S006B018783,B018783
S005B000229,B000229
S004B029424,B029424
S006B018018,B018018
S004B018192,B018192
S004B018552,B018552
S004B015876,B015876
S004B003663,B003663
S008B019292,B019292
S002B041613,B041613
S004B011514,B011514
S006B032774,B032774
S007B015010,B015010
S008B026385,B026385
S003B046400,B046400
S003B023991,B023991
S000B005959,B005959
S005B047817,B047817
S005B050266,B050266
S002B035105,B035105
S006B049865,B049865
S008B023631,B023631
S009B018523,B018523
S008B023760,B023760
S005B040717,B040717
S009B022361,B022361
S008B011682,B011682
S002B021756,B021756
S007B013457,B013457
S000B001895,B001895
S000B024651,B024651
S002B033624,B033624
S001B006877,B006877
S001B035406,B035406
S002B028790,B028790
S000B008312,B008312
S007B041653,B041653
S009B025788,B025788
S000B025926,B025926
S004B009718,B009718
S009B031159,B031159
S000B039428,B039428
S004B038258,B038258
S007B035177,B035177
S000B039263,B039263
S000B005703,B005703
S006B000074,B000074
S002B005296,B005296
S005B014216,B014216
S008B027114,B027114
S007B027183,B027183
S008B045972,B045972
S002B032515,B032515
S002B042802,B042802
S003B030140,B030140
S009B009082,B009082
S007B001394,B001394
S006B024113,B024113
S004B007292,B007292
S001B001481,B001481
S007B035054,B035054
S001B007205,B007205
S005B008989,B008989
S007B031428,B031428
S002B014167,B014167
S006B021558,B021558
S008B003159,B003159
S006B000370,B000370
S003B025025,B025025
S002B022383,B022383
S003B041567,B041567
S003B019810,B019810
S007B032903,B032903
S003B028943,B028943
S005B041519,B041519
S006B025569,B025569
S006B028893,B028893
S005B012970,B012970
S007B009720,B009720
S004B046903,B046903
S009B050145,B050145
S002B027453,B027453
S004B032862,B032862
S002B026504,B026504
S009B030324,B030324
S008B047028,B047028
S001B003966,B003966
S005B003911,B003911
S005B028258,B028258
S005B036868,B036868
S007B005514,B005514
S009B028543,B028543
S008B027358,B027358
S004B010988,B010988
S006B028587,B028587
S007B022662,B022662
S006B047088,B047088
S000B047632,B047632
S007B020086,B020086
S008B022586,B022586
S005B048564,B048564
S002B040328,B040328
S004B047919,B047919
S002B038219,B038219
S000B006388,B006388
S002B027358,B027358
S000B014798,B014798
S003B043937,B043937
S000B047188,B047188
S005B007578,B007578
S009B019613,B019613
S000B021699,B021699
S002B045082,B045082
S009B031891,B031891
S006B027626,B027626
S002B013549,B013549
S004B015699,B015699
S008B039335,B039335
S009B001156,B001156
S005B004914,B004914
S001B020678,B020678
S005B027626,B027626
S003B048835,B048835
S006B041992,B041992
S007B030821,B030821
S002B015394,B015394
S003B035044,B035044
S004B047833,B047833
S006B028989,B028989
S008B039968,B039968
S004B027669,B027669
S008B037617,B037617
S007B043820,B043820
S009B016841,B016841
S008B004914,B004914
S000B009460,B009460
S008B023180,B023180
S000B020740,B020740
S004B035692,B035692
S005B012683,B012683
S007B046393,B046393
S007B023963,B023963
S004B015663,B015663
S003B043038,B043038
S002B019082,B019082
S007B006084,B006084
S006B034432,B034432
S009B034512,B034512
S005B003065,B003065
S008B023826,B023826
S009B028456,B028456
S004B042051,B042051
S006B041505,B041505
S003B005805,B005805
S006B004127,B004127
S009B010208,B010208
S004B022095,B022095
S002B009446,B009446
S002B004515,B004515
S004B040268,B040268
S004B024682,B024682
S001B024176,B024176
S007B013964,B013964
S009B049367,B049367
S008B042117,B042117
S001B014609,B014609
S008B024010,B024010
S007B018089,B018089
S008B013475,B013475
S002B031168,B031168
S007B045268,B045268
S002B001620,B001620
S008B001153,B001153
S002B028249,B028249
S006B003087,B003087
S006B034370,B034370
S007B042116,B042116
S002B016741,B016741
S004B029070,B029070
S005B011515,B011515
S009B003614,B003614
S001B019936,B019936
S001B045995,B045995
S007B046693,B046693
S003B008859,B008859
S008B035499,B035499
S008B037674,B037674
S003B015553,B015553
S003B046697,B046697
S000B001175,B001175
S008B021481,B021481
S005B037359,B037359
S008B015680,B015680
S001B021965,B021965
S009B034963,B034963
S009B020538,B020538
S005B044668,B044668
S009B019666,B019666
S003B032304,B032304
S001B000892,B000892
S001B044101,B044101
S002B015277,B015277
S007B043878,B043878
S003B031570,B031570
S000B045896,B045896
S006B003382,B003382
S005B029424,B029424
S005B002379,B002379
S007B007077,B007077
S003B019292,B019292
S008B028068,B028068
S009B017381,B017381
S001B011515,B011515
S007B000763,B000763
S005B023947,B023947
S006B024066,B024066
S005B010988,B010988
S007B041461,B041461
S007B018844,B018844
S000B047239,B047239
S000B032765,B032765
S003B043906,B043906
S000B033503,B033503
S001B040443,B040443
S004B048720,B048720
S006B012519,B012519
S007B034417,B034417
S000B004272,B004272
S002B008919,B008919
S005B004798,B004798
S005B020686,B020686
S002B035188,B035188
S008B025322,B025322
S003B011515,B011515
S005B020847,B020847
S000B008859,B008859
S002B022095,B022095
S003B022140,B022140
S004B028975,B028975
S006B036134,B036134
S005B028959,B028959
S007B027301,B027301
S001B015616,B015616
S001B021704,B021704
S008B050145,B050145
S002B037800,B037800
S001B033391,B033391
S004B020951,B020951
S000B034434,B034434
S008B022332,B022332
S001B022550,B022550
S007B034185,B034185
S008B048346,B048346
S004B041355,B041355
S005B036708,B036708
S006B021815,B021815
S005B004863,B004863
S002B032774,B032774
S005B045342,B045342
S005B019884,B019884
S006B013088,B013088
S000B046944,B046944
S005B045270,B045270
S005B011698,B011698
S000B040613,B040613
S005B013178,B013178
S000B027453,B027453
S008B047794,B047794
S008B040600,B040600
S002B046329,B046329
S006B024019,B024019
S004B038721,B038721
S000B024340,B024340
S009B005852,B005852
S008B015900,B015900
S006B047095,B047095
S005B000603,B000603
S002B016834,B016834
S003B017389,B017389
S001B003543,B003543
S005B028801,B028801
S001B043302,B043302
S009B002903,B002903
S009B049276,B049276
S005B034417,B034417
S009B032862,B032862
S000B010575,B010575
S007B027872,B027872
S006B026329,B026329
S007B020686,B020686
S001B041774,B041774
S007B023515,B023515
S001B018283,B018283
S001B029301,B029301
S005B032774,B032774
S007B040717,B040717
S004B020203,B020203
S009B036211,B036211
S000B041316,B041316
S007B032578,B032578
S006B002378,B002378
