y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
2.0,2.514,-1.461,0.806,3.908,0.226,-2.627,3.373,4.168,1.336,0.484
2.0,2.51,-1.401,-1.639,2.538,-2.724,-0.972,1.427,2.925,1.028,-0.095
1.0,-2.837,0.531,-1.451,2.142,0.912,-0.69,-0.712,3.176,-1.968,-1.896
2.0,0.973,-1.073,-0.523,2.799,-0.668,-2.33,-3.097,1.509,-0.828,3.999
2.0,3.331,-0.643,-1.978,-4.989,0.971,3.659,2.332,3.149,-1.884,-1.882
0.0,-2.109,-2.813,-0.177,-1.628,1.026,1.591,-0.438,0.711,2.959,-1.553
1.0,-2.462,-0.307,-2.862,0.554,1.362,0.114,-1.203,-2.929,1.275,-0.8
2.0,1.913,-2.611,-2.218,0.675,3.693,0.304,-0.487,0.508,0.38,-0.891
0.0,-2.256,-2.496,2.224,-0.824,-0.025,3.446,1.004,0.801,2.328,-7.264
2.0,1.99,-3.039,-1.965,4.982,-1.488,1.121,1.044,6.549,3.663,4.833
0.0,2.429,1.596,-2.01,2.538,-0.153,-0.838,2.922,-0.302,-1.786,-1.284
1.0,-2.852,1.906,-2.167,-0.001,1.094,3.066,-0.856,2.797,-0.035,-0.348
2.0,0.334,1.452,-1.269,5.661,-4.776,-2.145,-1.147,4.091,-0.434,3.273
2.0,2.61,-0.413,-1.128,3.783,-2.15,-1.93,0.258,2.838,4.193,4.734
0.0,0.772,2.361,-1.536,4.463,-0.326,-0.608,-0.025,1.69,-1.235,-0.657
0.0,1.798,2.233,-5.228,1.226,-1.278,-1.326,1.707,0.569,-3.008,-3.513
1.0,-2.949,-1.395,-0.245,3.305,-0.9,-0.624,0.358,-1.896,-0.973,-0.988
2.0,-1.234,-1.649,-1.835,-2.957,-0.077,-0.48,-0.277,0.062,-2.985,-3.348
1.0,-3.702,4.818,-1.056,4.771,1.852,-1.863,-0.614,3.368,-0.056,-4.66
1.0,0.067,1.628,1.987,2.529,-0.474,1.903,-1.149,2.09,0.742,-1.681
2.0,3.522,-1.18,-0.147,1.268,-0.16,-3.144,2.638,2.257,2.846,1.4
0.0,2.143,3.596,-5.186,4.196,-0.983,2.288,-0.43,0.88,-2.447,-3.545
0.0,4.081,2.605,-2.827,0.419,-5.922,-1.307,1.408,2.392,0.528,-6.186
0.0,2.586,2.842,-2.618,2.23,-1.814,-0.871,1.687,0.041,-4.153,-3.041
2.0,4.304,-1.737,-4.804,-0.669,-1.789,-0.218,0.349,-0.555,5.912,5.878
1.0,-1.634,0.956,-1.479,0.851,3.428,0.736,-2.272,3.925,-5.052,-1.12
0.0,0.445,-3.761,-2.071,-1.296,-5.977,3.77,3.285,-5.215,1.326,-0.111
2.0,1.617,-1.244,0.066,-0.659,4.024,3.186,-0.913,2.04,-0.168,-0.792
0.0,3.718,1.354,-1.957,-3.07,-2.494,-2.427,0.566,0.508,-5.623,-3.88
0.0,-0.959,-0.699,-1.401,-1.39,-1.379,2.824,3.321,-0.759,-0.014,-4.731
1.0,-2.828,0.72,-2.019,0.695,1.565,2.912,-0.697,3.068,-0.079,0.394
1.0,0.768,-0.076,-0.04,0.061,1.397,3.368,-3.778,-1.324,-3.658,0.106
2.0,-0.549,-3.168,-4.238,0.002,-2.466,1.224,-0.431,-3.148,-1.561,2.863
1.0,-1.86,0.566,-1.614,3.42,0.23,0.586,-0.678,4.454,2.204,-3.594
0.0,1.594,-4.523,-3.794,0.024,-1.187,1.499,1.581,-3.356,1.158,-0.292
0.0,-1.348,-1.891,2.087,-2.604,-0.567,-1.286,-1.054,-1.38,3.881,-4.471
0.0,-0.591,1.143,-0.417,1.315,1.02,3.012,-0.053,2.261,0.021,-1.096
0.0,-1.45,1.281,-4.31,-3.764,-1.931,2.61,3.082,-0.931,-0.508,-0.295
0.0,4.197,2.973,-2.001,0.617,-2.049,-1.678,3.263,0.45,-2.362,-4.533
1.0,-1.505,0.613,-4.357,2.691,0.408,-3.408,0.781,2.274,-2.048,-3.46
1.0,0.712,3.579,0.804,6.78,0.241,0.656,-0.513,0.822,4.635,-6.207
1.0,-0.235,-3.226,-2.541,1.631,-2.043,0.918,-1.161,-0.295,-1.538,-0.174
0.0,0.895,-3.504,-1.468,-2.546,-1.636,3.331,4.094,-1.634,0.889,-3.509
1.0,-3.517,2.396,-3.387,-0.777,-0.476,-0.371,-0.842,2.714,-2.085,-1.988
2.0,3.5,-1.128,-4.094,0.099,-0.155,1.878,-1.586,0.67,-2.304,-1.715
0.0,-3.694,-3.699,-0.828,0.475,-0.453,-1.945,-1.037,-3.196,3.886,-0.524
0.0,0.21,-0.912,1.158,1.882,3.082,0.001,1.429,0.967,-1.483,3.506
0.0,-4.432,-0.876,-0.217,-2.523,0.737,1.339,-0.205,0.286,4.009,-1.672
0.0,1.492,-1.254,-1.389,-0.468,-0.046,0.269,0.292,2.689,-0.332,0.911
0.0,1.584,-0.419,-3.749,-2.471,1.662,-0.059,-1.971,0.873,-5.187,-0.357
2.0,3.416,3.649,-5.04,-7.676,-3.513,4.604,2.197,3.621,-2.35,-3.43
0.0,-1.114,2.303,-1.704,2.14,-3.238,-3.668,6.127,1.627,-0.377,-1.202
0.0,-1.428,-1.865,1.232,-2.424,-0.361,-2.701,-2.757,-0.336,2.688,-1.117
1.0,-5.135,3.395,2.541,3.501,0.233,2.214,-0.536,-4.198,-2.503,-6.06
0.0,0.534,4.68,-1.151,2.545,-2.2,-2.517,0.998,1.684,-2.131,-3.49
0.0,2.801,2.887,-1.127,6.295,0.912,0.73,-0.618,1.32,1.393,-1.017
1.0,-1.103,-0.238,-4.236,1.534,2.113,2.958,-0.518,0.523,0.502,-1.411
0.0,-0.093,-3.984,2.021,-0.973,-5.715,0.858,-0.141,-4.091,3.185,-0.094
0.0,0.701,-0.344,0.408,-0.781,0.33,-1.987,-0.608,2.337,-3.002,1.416
0.0,0.414,1.407,-5.467,-2.439,-0.349,2.179,5.084,0.191,-2.452,-1.777
0.0,-1.825,-4.643,0.605,-0.35,-2.086,0.974,-0.555,-2.621,3.94,-0.35
2.0,1.672,1.859,-4.439,-1.685,0.713,3.175,0.287,0.755,-2.341,-1.323
2.0,3.406,0.383,-2.25,-4.581,2.753,3.698,2.584,3.257,-1.666,1.706
2.0,3.947,-3.937,-2.615,0.574,-2.057,0.423,1.025,0.791,4.133,1.603
0.0,-0.801,-5.539,0.729,0.224,-0.135,0.652,-1.751,-2.298,5.815,1.343
0.0,-0.325,1.761,-3.14,-0.047,-3.191,-2.342,3.069,1.181,-3.795,-2.683
0.0,2.665,3.971,0.06,3.158,-0.867,-3.112,3.013,0.527,-1.338,-2.784
0.0,1.669,-0.787,-0.577,1.494,-4.088,-2.38,2.207,2.656,1.826,-0.23
2.0,4.249,-3.172,0.365,1.599,1.115,-2.15,1.69,2.648,2.875,-0.737
2.0,1.979,-4.697,-3.263,-1.45,2.787,-1.588,-1.469,0.999,-0.964,-2.503
1.0,0.361,4.807,1.691,3.788,1.464,0.204,-1.36,0.764,-1.015,-3.081
2.0,-0.657,-0.247,-0.87,-3.858,0.405,0.75,1.471,0.963,-2.382,-5.259
0.0,1.783,1.947,-2.09,-1.889,-2.616,-3.72,1.561,2.447,-2.961,-3.332
2.0,2.894,1.795,-1.28,1.43,-0.128,-4.139,-1.975,6.858,3.643,3.695
1.0,-3.11,2.593,-1.19,4.089,0.823,-1.015,-1.905,2.62,0.782,-1.942
2.0,0.734,5.461,-1.276,-3.651,-2.334,4.808,-0.044,2.504,0.405,-3.496
2.0,2.64,-2.38,-2.265,-2.65,1.899,2.41,0.163,1.955,-2.29,-5.244
0.0,-2.43,-2.854,-0.826,-2.571,4.108,-0.753,-0.781,1.5,3.078,-2.339
0.0,2.487,0.703,0.17,2.239,-1.453,-0.614,1.924,1.772,1.915,-0.277
2.0,-2.87,1.897,2.065,1.003,-0.095,2.329,-1.732,-0.799,-2.25,-1.085
1.0,-1.658,-4.329,-0.293,2.2,-2.491,0.302,-1.14,0.42,-3.649,-0.895
2.0,1.291,0.317,-3.912,-0.868,2.444,-0.085,0.933,0.364,0.52,-1.468
2.0,-2.966,-3.627,-0.123,4.214,2.751,-0.974,-0.182,-1.719,-0.921,-2.086
1.0,-1.759,1.142,-2.603,-0.985,-5.452,2.104,-4.944,-2.307,0.11,-0.707
1.0,-1.815,1.687,-2.462,2.781,0.217,-2.877,-0.444,1.31,-2.344,-3.764
1.0,-1.636,-3.36,-2.68,2.633,-2.386,2.013,-0.209,-2.772,-1.768,2.999
2.0,5.505,-5.416,-3.833,0.84,2.242,1.895,4.52,0.728,5.049,0.767
2.0,0.725,-1.912,-0.076,-0.733,0.355,-3.191,-0.04,0.778,-1.881,-1.358
2.0,0.519,-0.131,-2.077,-0.728,-3.336,-2.715,0.33,-1.813,1.172,3.59
1.0,-3.636,1.45,-1.228,-0.359,-0.311,0.199,-4.371,-4.336,2.459,-2.119
2.0,1.333,0.602,-2.94,4.041,-4.632,-0.893,-2.267,5.654,1.788,5.645
1.0,1.162,3.915,2.713,0.05,0.428,5.148,-0.224,2.034,-0.384,-3.99
1.0,0.013,-0.827,-0.048,2.973,-0.836,0.203,-1.617,1.165,-0.141,-1.865
0.0,-0.671,-2.291,-0.944,-0.601,-2.838,1.103,2.07,-2.858,0.736,-4.039
1.0,-4.155,2.924,-4.065,2.775,0.131,-0.689,-1.54,2.689,2.174,-2.176
2.0,-1.661,1.817,0.086,0.854,1.474,1.414,-1.838,-0.136,0.341,-0.678
0.0,-2.18,-0.882,-0.072,-1.552,-3.521,2.28,1.84,-2.543,2.518,-1.56
0.0,0.331,-4.949,-1.118,-0.272,0.641,0.631,0.217,-2.174,3.705,-0.137
0.0,-1.8,-2.263,-3.258,1.572,-0.301,-1.518,0.908,1.818,-1.457,3.226
0.0,2.864,2.13,2.184,2.478,-1.211,-2.256,4.092,0.02,-0.517,-1.631
1.0,0.242,3.565,1.295,2.341,0.305,3.25,-1.078,0.283,0.988,-4.144
2.0,-1.493,-1.508,0.46,2.856,-3.299,-2.016,2.084,-1.386,0.234,1.41
0.0,-4.932,0.173,1.538,-1.992,-2.572,-1.044,-0.826,-1.017,2.831,-1.246
2.0,-1.713,-0.486,0.098,-0.901,0.823,-0.906,-1.145,-0.051,-0.975,-4.3
0.0,0.71,-4.148,-0.421,-1.127,-3.112,3.818,3.39,-2.598,1.667,-3.115
2.0,1.902,-1.079,-1.826,-1.862,1.156,2.999,-3.428,2.329,-1.825,-1.485
1.0,-4.289,0.631,-5.112,1.971,1.717,-0.852,-0.884,1.986,-1.602,-1.107
0.0,1.912,2.904,-1.236,1.809,-1.552,-0.893,-0.594,1.995,-1.754,-2.424
2.0,1.542,1.479,-1.694,4.064,-4.597,-2.475,-1.736,5.976,2.787,6.828
2.0,4.562,-2.898,-2.231,-3.748,3.57,4.279,-1.602,4.194,-2.175,-0.402
1.0,0.125,0.562,-1.159,3.956,1.518,-0.235,-1.773,-1.923,-2.278,-2.795
0.0,1.008,3.102,-0.296,4.547,0.727,0.555,0.456,0.47,-0.993,-0.939
1.0,-3.479,-0.314,-1.321,2.128,-3.393,2.005,-2.781,-0.442,-1.363,-0.873
2.0,-0.421,-1.455,-2.901,0.933,-2.362,-0.338,3.05,0.222,-0.367,1.691
1.0,-0.947,2.014,-1.281,1.102,1.259,2.386,-1.784,-1.421,-1.154,0.185
2.0,3.022,-2.174,-1.515,-0.694,0.744,-2.001,2.586,1.139,2.918,0.72
1.0,-2.755,1.72,-4.86,1.871,-0.532,-0.212,0.647,1.071,1.889,-1.055
2.0,1.164,-2.328,-1.088,0.573,-1.814,-1.303,1.747,3.133,3.019,1.413
2.0,-2.154,1.576,-1.875,4.692,-5.18,-1.488,0.654,4.023,-2.306,2.641
1.0,-2.57,-4.157,-3.268,-1.183,-6.675,4.211,-6.192,-1.783,-2.54,0.654
1.0,0.574,0.484,-2.544,0.547,-1.014,2.228,-1.555,-1.927,-0.627,0.668
2.0,2.009,1.2,-0.758,1.812,-2.702,-4.013,1.992,1.306,4.189,3.404
2.0,-0.37,-0.657,-1.128,0.027,0.069,-1.385,1.39,-1.046,-0.897,-1.044
0.0,-0.293,1.591,-3.107,3.094,0.676,0.732,1.043,0.266,-1.908,0.14
2.0,4.351,-2.083,-1.602,-4.629,4.377,5.544,-0.834,4.949,-0.999,-1.288
2.0,1.889,-1.451,-0.293,-0.634,0.859,-3.636,3.743,-2.39,2.265,0.904
1.0,-1.283,-0.52,-3.64,0.295,-3.754,2.27,-2.271,-1.458,-0.677,1.775
0.0,-1.888,0.267,-4.362,-1.131,-3.45,0.536,2.253,-3.551,0.165,1.918
1.0,-1.806,2.33,-0.855,2.537,0.215,2.956,-3.132,0.465,2.34,-0.719
1.0,-4.345,-2.22,-1.838,1.493,-0.756,2.615,-0.531,-4.383,-1.719,-5.353
0.0,0.173,-0.104,-2.359,-1.488,-1.672,-1.909,1.802,1.16,-5.017,-0.597
1.0,-1.177,3.797,-0.69,3.062,-0.196,1.245,0.314,0.59,2.136,-3.091
0.0,-1.087,-1.942,-4.953,-1.363,2.541,2.08,1.634,0.69,0.654,0.707
1.0,-0.488,-0.093,-1.732,4.298,0.77,-1.569,-0.159,3.121,-0.572,-3.855
1.0,-1.544,-0.912,-1.179,1.819,-0.944,1.643,-1.481,-2.725,-0.51,-0.844
1.0,-3.518,-1.425,-2.921,1.475,-0.397,1.038,-2.472,-0.898,0.703,-3.799
1.0,-0.151,-2.81,-2.894,1.422,-1.943,2.956,-1.451,0.384,-2.972,-0.238
1.0,0.987,-0.12,-0.198,1.085,-1.274,-0.914,0.147,-3.673,-0.422,-0.166
